width	title	line
79	'session-abcdef01-2345-6789'	'───────────────────────── session-abcdef01-2345-6789 ──────────────────────────'
79	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'──────── xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ─────────'
79	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx… ─'
79	'你好世界'	'────────────────────────────────── 你好世界 ───────────────────────────────────'
79	'éclair'	'─────────────────────────────────── éclair ────────────────────────────────────'
80	'f1'	'────────────────────────────────────── f1 ──────────────────────────────────────'
80	'a'	'────────────────────────────────────── a ───────────────────────────────────────'
80	''	'────────────────────────────────────────────────────────────────────────────────'
80	'0123456789abcdef'	'─────────────────────────────── 0123456789abcdef ───────────────────────────────'
80	'session-abcdef01-2345-6789'	'────────────────────────── session-abcdef01-2345-6789 ──────────────────────────'
80	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'───────── xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ─────────'
80	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx… ─'
80	'你好世界'	'─────────────────────────────────── 你好世界 ───────────────────────────────────'
80	'éclair'	'──────────────────────────────────── éclair ────────────────────────────────────'
96	'f1'	'────────────────────────────────────────────── f1 ──────────────────────────────────────────────'
96	'a'	'────────────────────────────────────────────── a ───────────────────────────────────────────────'
96	''	'────────────────────────────────────────────────────────────────────────────────────────────────'
96	'0123456789abcdef'	'─────────────────────────────────────── 0123456789abcdef ───────────────────────────────────────'
96	'session-abcdef01-2345-6789'	'────────────────────────────────── session-abcdef01-2345-6789 ──────────────────────────────────'
96	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'───────────────── xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ─────────────────'
96	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx… ─'
96	'你好世界'	'─────────────────────────────────────────── 你好世界 ───────────────────────────────────────────'
96	'éclair'	'──────────────────────────────────────────── éclair ────────────────────────────────────────────'
100	'f1'	'──────────────────────────────────────────────── f1 ────────────────────────────────────────────────'
100	'a'	'──────────────────────────────────────────────── a ─────────────────────────────────────────────────'
100	''	'────────────────────────────────────────────────────────────────────────────────────────────────────'
100	'0123456789abcdef'	'───────────────────────────────────────── 0123456789abcdef ─────────────────────────────────────────'
100	'session-abcdef01-2345-6789'	'──────────────────────────────────── session-abcdef01-2345-6789 ────────────────────────────────────'
100	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─────────────────── xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ───────────────────'
100	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx… ─'
100	'你好世界'	'───────────────────────────────────────────── 你好世界 ─────────────────────────────────────────────'
100	'éclair'	'────────────────────────────────────────────── éclair ──────────────────────────────────────────────'
101	'f1'	'──────────────────────────────────────────────── f1 ─────────────────────────────────────────────────'
101	'a'	'───────────────────────────────────────────────── a ─────────────────────────────────────────────────'
101	''	'─────────────────────────────────────────────────────────────────────────────────────────────────────'
101	'0123456789abcdef'	'───────────────────────────────────────── 0123456789abcdef ──────────────────────────────────────────'
101	'session-abcdef01-2345-6789'	'──────────────────────────────────── session-abcdef01-2345-6789 ─────────────────────────────────────'
101	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─────────────────── xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ────────────────────'
101	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx… ─'
101	'你好世界'	'───────────────────────────────────────────── 你好世界 ──────────────────────────────────────────────'
101	'éclair'	'────────────────────────────────────────────── éclair ───────────────────────────────────────────────'
120	'f1'	'────────────────────────────────────────────────────────── f1 ──────────────────────────────────────────────────────────'
120	'a'	'────────────────────────────────────────────────────────── a ───────────────────────────────────────────────────────────'
120	''	'────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────'
120	'0123456789abcdef'	'─────────────────────────────────────────────────── 0123456789abcdef ───────────────────────────────────────────────────'
120	'session-abcdef01-2345-6789'	'────────────────────────────────────────────── session-abcdef01-2345-6789 ──────────────────────────────────────────────'
120	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'───────────────────────────── xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ─────────────────────────────'
120	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx… ─'
120	'你好世界'	'─────────────────────────────────────────────────────── 你好世界 ───────────────────────────────────────────────────────'
120	'éclair'	'──────────────────────────────────────────────────────── éclair ────────────────────────────────────────────────────────'
200	'f1'	'────────────────────────────────────────────────────────────────────────────────────────────────── f1 ──────────────────────────────────────────────────────────────────────────────────────────────────'
200	'a'	'────────────────────────────────────────────────────────────────────────────────────────────────── a ───────────────────────────────────────────────────────────────────────────────────────────────────'
200	''	'────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────'
200	'0123456789abcdef'	'─────────────────────────────────────────────────────────────────────────────────────────── 0123456789abcdef ───────────────────────────────────────────────────────────────────────────────────────────'
200	'session-abcdef01-2345-6789'	'────────────────────────────────────────────────────────────────────────────────────── session-abcdef01-2345-6789 ──────────────────────────────────────────────────────────────────────────────────────'
200	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'───────────────────────────────────────────────────────────────────── xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ─────────────────────────────────────────────────────────────────────'
200	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─────────────────────────────────────── xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ───────────────────────────────────────'
200	'你好世界'	'─────────────────────────────────────────────────────────────────────────────────────────────── 你好世界 ───────────────────────────────────────────────────────────────────────────────────────────────'
200	'éclair'	'──────────────────────────────────────────────────────────────────────────────────────────────── éclair ────────────────────────────────────────────────────────────────────────────────────────────────'
