width	message	wrapped
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaa.json\nl: Invalid date \nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaa.jso\nnl: Invalid date \nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaaa.js\nonl: Invalid date \nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaaaa.j\nsonl: Invalid date \nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaaaaa.\njsonl: Invalid date \nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaaaaaa\n.jsonl: Invalid date\nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaaaaaa\na.jsonl: Invalid \ndate format: \n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaaaaaa\naa.jsonl: Invalid \ndate format: \n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaaaaaa\naaa.jsonl: Invalid \ndate format: \n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaaaaaa\naaaa.jsonl: Invalid \ndate format: \n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaaaaaa\naaaaa.jsonl: Invalid\ndate format: \n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaaaaaa\naaaaaa.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaaaaaa\naaaaaaa.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaaaaaaaa\naaaaaaaa.jsonl: \nInvalid date format:\n'bogus-date'"
20	'short'	'short'
20	'a b c'	'a b c'
20	'word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word '	'word word word word \nword word word word \nword word word word \nword word word word \nword word word word \nword word word word \nword word word word \nword word '
20	'aaaa bbbb  cccc   dddd'	'aaaa bbbb  cccc   \ndddd'
20	'trailing space at end '	'trailing space at \nend '
20	' leading space'	' leading space'
20	'supercalifragilisticexpialidociousandthensome word'	'supercalifragilistic\nexpialidociousandthe\nnsome word'
40	"Error processing conversation file /Users/x/.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/.jsonl: Invalid date format: \n'bogus-date'"
40	"Error processing conversation file /Users/x/a.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/a.jsonl: Invalid date format: \n'bogus-date'"
40	"Error processing conversation file /Users/x/aa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aa.jsonl: Invalid date format: \n'bogus-date'"
40	"Error processing conversation file /Users/x/aaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaa.jsonl: Invalid date format:\n'bogus-date'"
40	"Error processing conversation file /Users/x/aaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaa.jsonl: Invalid date \nformat: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaa.jsonl: Invalid date\nformat: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaa.jsonl: Invalid \ndate format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaa.jsonl: Invalid \ndate format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaa.jsonl: Invalid \ndate format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaa.jsonl: Invalid \ndate format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaa.jsonl: Invalid\ndate format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaa.jsonl: \nInvalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaa.jsonl: \nInvalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaa.jsonl: \nInvalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaa.jsonl: \nInvalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaa.jsonl: \nInvalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaa.jsonl: \nInvalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaa.jsonl: \nInvalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaa.jsonl:\nInvalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaa.jsonl\n: Invalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaa.json\nl: Invalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaa.jso\nnl: Invalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaa.js\nonl: Invalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaa.j\nsonl: Invalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.\njsonl: Invalid date format: 'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\n.jsonl: Invalid date format: \n'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\na.jsonl: Invalid date format: \n'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\naa.jsonl: Invalid date format: \n'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\naaa.jsonl: Invalid date format: \n'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\naaaa.jsonl: Invalid date format: \n'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\naaaaa.jsonl: Invalid date format: \n'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\naaaaaa.jsonl: Invalid date format: \n'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\naaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
40	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\naaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
40	'short'	'short'
40	'a b c'	'a b c'
40	'word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word '	'word word word word word word word word \nword word word word word word word word \nword word word word word word word word \nword word word word word word '
40	'aaaa bbbb  cccc   dddd'	'aaaa bbbb  cccc   dddd'
40	'trailing space at end '	'trailing space at end '
40	' leading space'	' leading space'
40	'supercalifragilisticexpialidociousandthensome word'	'supercalifragilisticexpialidociousandthe\nnsome word'
60	"Error processing conversation file /Users/x/.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file /Users/x/.jsonl: Invalid \ndate format: 'bogus-date'"
60	"Error processing conversation file /Users/x/a.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file /Users/x/a.jsonl: Invalid\ndate format: 'bogus-date'"
60	"Error processing conversation file /Users/x/aa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file /Users/x/aa.jsonl: \nInvalid date format: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file /Users/x/aaa.jsonl: \nInvalid date format: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file /Users/x/aaaa.jsonl: \nInvalid date format: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file /Users/x/aaaaa.jsonl: \nInvalid date format: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file /Users/x/aaaaaa.jsonl: \nInvalid date format: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file /Users/x/aaaaaaa.jsonl: \nInvalid date format: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file /Users/x/aaaaaaaa.jsonl: \nInvalid date format: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file /Users/x/aaaaaaaaa.jsonl:\nInvalid date format: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: \n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format:\n'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date \nformat: 'bogus-date'"
60	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing conversation file \n/Users/x/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date\nformat: 'bogus-date'"
